"","column","range","mean"
"1","subject","1  to  30","Not applicable"
"2","activity","LAYING , SITTING , STANDING , WALKING , WALKING_DOWNSTAIRS , WALKING_UPSTAIRS","Not applicable"
"3","tBodyAcc-mean()-X","0.2651  to  0.2816","0.2745"
"4","tBodyAcc-mean()-Y","-0.0233  to  -0.0144","-0.0178"
"5","tBodyAcc-mean()-Z","-0.1183  to  -0.095","-0.1086"
"6","tBodyAcc-std()-X","-0.7871  to  -0.1044","-0.5812"
"7","tBodyAcc-std()-Y","-0.6987  to  -0.0102","-0.4739"
"8","tBodyAcc-std()-Z","-0.7386  to  -0.1169","-0.5904"
"9","tGravityAcc-mean()-X","0.4753  to  0.9522","0.6818"
"10","tGravityAcc-mean()-Y","-0.33  to  0.1748","-0.0073"
"11","tGravityAcc-mean()-Z","-0.1612  to  0.2769","0.0841"
"12","tGravityAcc-std()-X","-0.9801  to  -0.9412","-0.9648"
"13","tGravityAcc-std()-Y","-0.9725  to  -0.8926","-0.9535"
"14","tGravityAcc-std()-Z","-0.9594  to  -0.8744","-0.9372"
"15","tBodyAccJerk-mean()-X","0.0629  to  0.1043","0.0791"
"16","tBodyAccJerk-mean()-Y","-0.0015  to  0.0243","0.0078"
"17","tBodyAccJerk-mean()-Z","-0.026  to  0.0179","-0.0053"
"18","tBodyAccJerk-std()-X","-0.845  to  -0.1561","-0.6175"
"19","tBodyAccJerk-std()-Y","-0.778  to  -0.1997","-0.5817"
"20","tBodyAccJerk-std()-Z","-0.8862  to  -0.4761","-0.7517"
"21","tBodyGyro-mean()-X","-0.0701  to  0.0446","-0.0279"
"22","tBodyGyro-mean()-Y","-0.1242  to  -0.0471","-0.0771"
"23","tBodyGyro-mean()-Z","0.054  to  0.1122","0.0871"
"24","tBodyGyro-std()-X","-0.8415  to  -0.3523","-0.6998"
"25","tBodyGyro-std()-Y","-0.812  to  -0.0722","-0.6567"
"26","tBodyGyro-std()-Z","-0.8038  to  -0.264","-0.6334"
"27","tBodyGyroJerk-mean()-X","-0.1211  to  -0.0731","-0.0982"
"28","tBodyGyroJerk-mean()-Y","-0.0704  to  -0.0346","-0.0428"
"29","tBodyGyroJerk-mean()-Z","-0.0622  to  -0.0169","-0.0538"
"30","tBodyGyroJerk-std()-X","-0.8639  to  -0.5085","-0.714"
"31","tBodyGyroJerk-std()-Y","-0.9238  to  -0.389","-0.7722"
"32","tBodyGyroJerk-std()-Z","-0.8713  to  -0.3834","-0.7223"
"33","tBodyAccMag-mean()","-0.6865  to  -0.0141","-0.518"
"34","tBodyAccMag-std()","-0.7349  to  -0.1015","-0.5667"
"35","tGravityAccMag-mean()","-0.6865  to  -0.0141","-0.518"
"36","tGravityAccMag-std()","-0.7349  to  -0.1015","-0.5667"
"37","tBodyAccJerkMag-mean()","-0.8302  to  -0.2197","-0.6273"
"38","tBodyAccJerkMag-std()","-0.8269  to  -0.1734","-0.607"
"39","tBodyGyroMag-mean()","-0.7647  to  -0.0917","-0.5752"
"40","tBodyGyroMag-std()","-0.828  to  -0.2047","-0.6376"
